source,target,value
france,russia,11
germany,russia,22
germany,italy,28
austria,germany,10
france,spain,1
france,poland,14
france,germany,19
germany,poland,23
estonia,germany,5
estonia,latvia,12
latvia,lithuania,6
lithuania,poland,6
finland,poland,5
finland,germany,4
denmark,poland,5
denmark,norway,6
germany,norway,10
germany,netherlands,5
luxembourg,netherlands,6
france,luxembourg,3
france,italy,4
greece,italy,5
germany,greece,3
libya,ukraine,2
egypt,libya,16
egypt,iraq,5
iran,iraq,6
germany,japan,17
japan,russia,12
algeria,morocco,6
algeria,italy,5
china,japan,25
italy,japan,11
japan,thailand,6
singapore,thailand,6
japan,singapore,4
australia,japan,9
japan,solomon islands,7
india,japan,11
china,france,6
china,india,18
india,pakistan,18
israel,pakistan,6
israel,north korea,6
north korea,south africa,5
israel,south africa,6
israel,libya,5
iran,libya,9
germany,iran,1
france,japan,3
laos,pakistan,4
cambodia,laos,6
cambodia,vietnam,11
kenya,vietnam,5
ghana,kenya,6
france,ghana,4
latvia,poland,6
estonia,lithuania,6
finland,lithuania,6
albania,finland,5
albania,bulgaria,6
bulgaria,poland,6
poland,romania,6
hungary,romania,6
hungary,mongolia,4
china,mongolia,6
china,north korea,12
cuba,north korea,6
cuba,vietnam,10
china,vietnam,5
north korea,south korea,6
canada,south korea,5
australia,canada,6
australia,vietnam,2
cuba,united states,2
canada,japan,6
canada,china,3
china,lithuania,4
lithuania,russia,5
rwanda,south africa,5
north korea,rwanda,2
finland,russia,6
afghanistan,pakistan,6
china,lebanon,1
india,singapore,5
